"sample_id","parcel_id","input","reference_lon","reference_lat","geocoder","matched_address","census_candidates","geocode_lon","geocode_lat","distance_m","same_cell","in_reference_disk","reference_zcta","geocode_zcta","reference_council_district","geocode_council_district","flag","reviewer_verdict","reviewer_notes"
97,"045113  00040","3340 DOUGLASS AV, Memphis, TN",-89.951117,35.109513,"census","3340 DOUGLASS AVE, MEMPHIS, TN, 38111",1,-89.951012,35.109378,17.7,TRUE,TRUE,"38111","38111","5","5","","",""
98,"034065  00015","1844 MARJORIE ST, Memphis, TN",-90.031226,35.096643,"census","1844 MARJORIE ST, MEMPHIS, TN, 38106",1,-90.031481,35.096535,26.2,FALSE,TRUE,"38106","38106","6","6","","",""
99,"042007  00027","1531 N HOLLYWOOD ST, Memphis, TN",-89.975534,35.177904,"census","1531 N HOLLYWOOD ST, MEMPHIS, TN, 38108",1,-89.975347,35.177843,18.3,FALSE,TRUE,"38108","38108","7","7","","",""
100,"081031  00036","6516 KESWICK CV, Memphis, TN",-89.846001,35.081622,"census","6516 KESWICK COVE, MEMPHIS, TN, 38119",1,-89.846207,35.081308,39.6,TRUE,TRUE,"38119","38119","2","2","","",""
101,"025060  00009","1389 WILLIE MITCHELL BL, Memphis, TN",-90.044028,35.109072,"none (census no_match)",,0,,,,,FALSE,"38106",,"4",,"no result","",""
102,"026062  00012","1330 GLEASON AV, Memphis, TN",-90.018099,35.111034,"census","1330 GLEASON AVE, MEMPHIS, TN, 38106",1,-90.017681,35.110921,40.1,TRUE,TRUE,"38106","38106","4","4","","",""
103,"095101 P00014","7086 MARYLAND CT, Memphis, TN",-89.827461,35.202897,"census","7086 MARYLAND CT, MEMPHIS, TN, 38133",1,-89.826115,35.202641,125.8,FALSE,TRUE,"38133","38133","1","1","over 100 m","",""
104,"013040  00023","988 S FOURTH ST, Memphis, TN",-90.050832,35.120331,"census","988 S 4TH ST, MEMPHIS, TN, 38126",1,-90.051026,35.120131,28.4,FALSE,TRUE,"38126","38126","6","6","","",""
105,"002083 E00050","150 W GEORGIA AV, Memphis, TN",-90.065966,35.129583,"census","150 W GEORGIA AVE, MEMPHIS, TN, 38103",1,-90.065263,35.129493,64.8,TRUE,TRUE,"38103","38103","6","6","","",""
106,"049061  00010","615 E MALLORY AV, Memphis, TN",-90.042521,35.086041,"census","615 E MALLORY AVE, MEMPHIS, TN, 38106",1,-90.04238,35.086206,22.4,TRUE,TRUE,"38106","38106","6","6","","",""
