"request_type","rows_at_bootstrap","category","headline","target_low_bd","target_high_bd","target_source_url"
"COMM-Graffiti",12,"COMM",FALSE,,,""
"CW-Miscellaneous",12,"CW",FALSE,,,""
"EN-Railroad R-O-W Maint. 2",12,"EN",FALSE,,,""
"PN-Roadways in Parks",12,"PN",FALSE,,,""
"SWM-Miscellaneous",11,"SWM",FALSE,,,""
"EN-Traffic Sign Obstruction",9,"EN",FALSE,,,""
"PN-Community Center",9,"PN",FALSE,,,""
"PN-MO Equipment",6,"PN",FALSE,,,""
"PW (ROW)-BRX Bridge Maintenance",6,"PW (ROW)",FALSE,,,""
"SC-Mayors Action Center(MIS)",6,"SC",FALSE,,,""
"SWM-Storm Debris",6,"SWM",FALSE,,,""
"PN-Signage in Parks",5,"PN",FALSE,,,""
"PW (DM)-CLAIM CAVITY",5,"PW (DM)",FALSE,,,""
"PW (DM)-CLAIM MANHOLE COVER",5,"PW (DM)",FALSE,,,""
"SWM-Billing for Burnt Cart",5,"SWM",FALSE,,,""
"GS-Miscellaneous",4,"GS",FALSE,,,""
"PW (DM)-CLAIM FLOODING HOUSE",4,"PW (DM)",FALSE,,,""
"PN-Library (Miscellaneous)",3,"PN",FALSE,,,""
"PW (FC)-Flood Control - Weeds",3,"PW (FC)",FALSE,,,""
"SWM-Garbage Cart Not Out",3,"SWM",FALSE,,,""
"FS-Emergency Services",2,"FS",FALSE,,,""
"PN-Signage",2,"PN",FALSE,,,""
"PW (DM)-CLAIM FROM INLET",2,"PW (DM)",FALSE,,,""
"PW (HE)-Fire",2,"PW (HE)",FALSE,,,""
"SWM-New Connect Listing",2,"SWM",FALSE,,,""
"SWM-Trash Can Maintenance",2,"SWM",FALSE,,,""
"EE-Illegal Signs",1,"EE",FALSE,,,""
"PW (DM)-CLAIM FLOODING BUILDING",1,"PW (DM)",FALSE,,,""
"PW (DM)-CLEAN WASH RACK",1,"PW (DM)",FALSE,,,""
"PW (SM)-Snow and Ice",1,"PW (SM)",FALSE,,,""
"Service Quality",1,"Service Quality",FALSE,,,""
"Vendor Abated",1,"Vendor Abated",FALSE,,,""
